iter	Passed	Remaining
0	59	59655
1	60	29976
2	60	20081
3	60	15134
4	61	12164
5	61	10182
6	61	8767
7	62	7707
8	62	6879
9	62	6219
10	63	5678
11	63	5225
12	63	4843
13	64	4515
14	64	4229
15	64	3982
16	65	3761
17	65	3566
18	65	3392
19	66	3235
20	66	3092
21	66	2964
22	67	2846
23	67	2738
24	67	2640
25	68	2548
26	68	2463
27	68	2383
28	68	2309
29	69	2241
30	69	2175
31	69	2114
32	70	2059
33	70	2005
34	70	1954
35	71	1906
36	71	1860
37	71	1817
38	72	1778
39	72	1739
40	72	1702
41	73	1668
42	73	1635
43	73	1604
44	74	1576
45	74	1546
46	74	1518
47	75	1490
48	75	1465
49	75	1440
50	76	1416
51	76	1392
52	76	1370
53	76	1348
54	77	1328
55	77	1307
56	77	1288
57	78	1269
58	78	1251
59	78	1233
60	79	1216
61	79	1200
62	79	1184
63	79	1168
64	80	1153
65	80	1138
66	80	1124
67	80	1108
68	81	1095
69	81	1081
70	81	1069
71	82	1057
72	82	1044
73	82	1033
74	82	1021
75	83	1010
76	83	1000
77	83	990
78	84	980
79	84	970
80	84	961
81	85	951
82	85	942
83	85	932
84	85	922
85	86	914
86	86	904
87	86	895
88	86	887
89	86	879
90	87	871
91	87	864
92	87	856
93	88	849
94	88	843
95	88	837
96	89	830
97	89	823
98	89	816
99	90	810
100	90	803
101	90	795
102	90	789
103	90	783
104	91	777
105	91	772
106	91	766
107	92	760
108	92	754
109	92	749
110	92	744
111	93	739
112	93	733
113	93	728
114	94	723
115	94	717
116	94	712
117	94	708
118	94	702
119	95	698
120	95	693
121	95	689
122	95	683
123	96	679
124	96	674
125	96	670
126	96	665
127	96	660
128	97	656
129	97	652
130	97	648
131	98	644
132	98	640
133	98	637
134	98	634
135	99	630
136	99	627
137	99	622
138	100	619
139	100	616
140	100	613
141	101	610
142	101	606
143	101	603
144	101	600
145	102	597
146	102	594
147	102	591
148	103	588
149	103	585
150	103	582
151	103	579
152	104	576
153	104	573
154	104	571
155	105	568
156	105	565
157	105	562
158	105	559
159	106	556
160	106	554
161	106	551
162	106	549
163	107	546
164	107	543
165	107	541
166	108	538
167	108	536
168	108	533
169	108	531
