iter	Passed	Remaining
0	59	59495
1	59	29915
2	60	20034
3	60	15088
4	60	12121
5	61	10146
6	61	8736
7	61	7677
8	62	6859
9	62	6198
10	62	5659
11	63	5210
12	63	4830
13	63	4501
14	64	4217
15	64	3970
16	64	3753
17	65	3556
18	65	3384
19	65	3233
20	66	3096
21	66	2970
22	67	2855
23	67	2746
24	67	2650
25	68	2557
26	68	2474
27	68	2394
28	69	2319
29	69	2250
30	69	2184
31	70	2122
32	70	2064
33	70	2009
34	71	1959
35	71	1910
36	71	1864
37	71	1821
38	72	1780
39	72	1742
40	72	1704
41	73	1668
42	73	1634
43	73	1602
44	74	1571
45	74	1543
46	74	1514
47	74	1487
48	75	1460
49	75	1435
50	75	1411
51	76	1387
52	76	1364
53	76	1343
54	76	1322
55	77	1302
56	77	1284
57	77	1265
58	78	1247
59	78	1229
60	78	1212
61	79	1196
62	79	1180
63	79	1164
64	79	1149
65	80	1134
66	80	1120
67	80	1106
68	81	1096
69	81	1083
70	81	1070
71	82	1057
72	82	1044
73	82	1033
74	82	1021
75	83	1010
76	83	999
77	83	988
78	83	978
79	84	967
80	84	957
81	84	947
82	84	936
83	85	927
84	85	918
85	85	909
86	85	901
87	86	892
88	86	884
89	86	876
90	86	868
91	87	861
92	87	853
93	87	845
94	88	838
95	88	832
96	88	824
97	88	818
98	89	811
99	89	804
100	89	797
101	89	791
102	90	784
103	90	779
104	90	773
105	90	767
106	91	761
107	91	755
108	91	750
109	92	744
110	92	739
111	92	734
112	92	729
113	93	724
114	93	718
115	93	714
116	93	708
117	94	704
118	94	699
119	94	695
120	95	690
121	95	684
122	95	680
123	95	676
124	96	672
125	96	667
126	96	663
127	96	660
128	97	656
129	97	652
130	97	648
131	98	644
132	98	640
133	98	637
134	98	633
135	99	629
136	99	626
137	99	623
138	100	619
139	100	616
140	100	612
141	100	608
142	100	605
143	101	601
144	101	598
145	101	594
146	101	591
147	102	588
148	102	585
149	102	582
150	103	579
151	103	576
152	103	573
153	103	570
154	104	567
155	104	564
156	104	561
157	104	559
158	105	556
159	105	553
160	105	550
161	105	547
162	106	544
163	106	542
164	106	539
165	106	537
166	107	534
167	107	531
168	107	529
169	107	526
170	108	524
171	108	522
172	108	520
173	109	517
174	109	515
175	109	513
176	109	510
177	110	508
178	110	506
179	110	504
180	111	502
181	111	500
182	111	498
183	111	496
184	112	494
185	112	492
186	112	490
187	113	488
188	113	487
189	113	485
190	114	482
191	114	480
192	114	478
193	114	476
194	115	475
195	115	473
196	115	471
197	116	469
198	116	468
199	116	466
200	116	464
201	117	462
202	117	460
203	117	459
204	117	457
205	118	455
206	118	454
207	118	452
208	119	450
209	119	449
210	119	447
211	119	445
212	120	443
213	120	442
214	120	441
215	121	439
216	121	438
217	121	436
218	122	435
219	122	433
220	122	432
221	122	430
222	123	429
223	123	427
224	123	425
225	123	424
226	124	423
227	124	421
228	124	420
229	125	418
230	125	417
231	125	415
232	125	414
233	126	413
234	126	411
235	126	410
236	127	408
237	127	407
238	127	406
239	128	405
240	128	404
241	128	402
242	128	401
243	129	399
244	129	398
245	129	397
246	129	396
247	130	395
248	130	393
249	130	392
250	131	391
251	131	389
252	131	388
253	131	387
254	132	385
255	132	384
256	132	383
257	132	382
258	133	380
259	133	379
260	133	378
261	133	377
262	134	375
263	134	374
264	134	373
265	134	372
266	135	371
267	135	370
268	135	368
269	135	367
270	136	366
271	136	365
272	137	364
273	137	363
274	137	362
275	137	361
276	138	360
277	138	359
278	138	358
279	138	357
280	139	356
281	139	355
282	139	354
283	140	353
284	140	352
285	140	351
286	140	350
287	141	348
288	141	347
289	141	346
290	141	345
291	142	344
292	142	343
293	142	342
294	142	341
295	143	340
296	143	340
297	143	339
298	144	338
299	144	337
300	144	336
301	145	335
302	145	334
303	145	333
304	145	332
305	146	331
306	146	330
307	146	329
308	146	328
309	147	327
310	147	326
311	147	325
312	148	325
313	148	324
314	148	323
315	148	322
316	149	321
317	149	320
318	149	319
319	150	318
320	150	317
321	150	317
322	150	316
323	151	315
324	151	314
325	151	314
326	152	313
327	152	312
328	152	311
329	153	310
330	153	309
331	153	309
332	153	308
333	154	307
334	154	306
335	154	305
336	154	304
337	155	303
338	155	303
339	155	302
340	156	301
341	156	300
342	156	300
343	156	299
344	157	298
345	157	297
346	157	296
347	157	295
348	158	295
349	158	294
350	158	293
351	159	293
352	159	292
353	159	291
354	160	290
355	160	290
356	160	289
357	161	288
358	161	288
359	161	287
360	161	286
361	162	287
362	163	286
363	163	285
364	163	284
365	164	284
366	164	283
367	164	282
368	164	282
369	165	281
370	165	280
371	165	279
372	166	279
373	166	278
374	166	277
375	166	276
376	167	276
377	167	275
378	167	274
379	167	273
380	168	273
381	168	272
382	168	271
383	169	271
384	169	270
385	169	269
386	169	268
387	170	268
388	170	267
389	170	266
390	170	266
391	171	265
392	171	264
393	171	263
394	171	263
395	172	262
396	172	262
397	172	261
398	173	260
399	173	260
400	173	259
401	173	258
402	174	257
403	174	257
404	174	256
405	174	256
406	175	255
407	175	254
408	175	254
409	176	253
410	176	252
411	176	252
412	176	251
413	177	250
414	177	250
415	177	249
416	177	248
417	178	248
418	178	247
419	178	246
420	179	246
421	179	245
422	179	244
423	179	244
424	180	243
425	180	243
426	180	242
427	180	241
428	181	241
429	181	240
430	181	239
431	182	239
432	182	238
433	182	238
434	182	237
435	183	236
436	183	236
437	183	235
